,State,Year,Grade,Population,Incidences,Killed,Wounded,Total_Injured_Killed_Victims,Number_of_Shots_Fired
0,AK,2012,F,730825,1.0,0.0,1.0,1.0,0.0
1,AK,2013,F,736760,0.0,0.0,0.0,0.0,0.0
2,AK,2014,F,736759,0.0,0.0,0.0,0.0,0.0
3,AK,2015,F,737979,1.0,0.0,2.0,2.0,0.0
4,AK,2016,F,741522,1.0,0.0,1.0,1.0,1.0
5,AK,2017,F,739795,0.0,0.0,0.0,0.0,0.0
6,AK,2018,F,737438,1.0,0.0,1.0,1.0,1.0
7,AL,2012,D,4813946,1.0,0.0,0.0,0.0,0.0
8,AL,2013,D-,4827660,1.0,0.0,0.0,0.0,1.0
9,AL,2014,F,4840037,0.0,0.0,0.0,0.0,0.0
10,AL,2015,F,4850858,1.0,0.0,1.0,1.0,0.0
11,AL,2016,F,4860545,2.0,0.0,2.0,2.0,1.0
12,AL,2017,F,4874747,2.0,0.0,0.0,0.0,2.0
13,AL,2018,F,4887871,3.0,1.0,2.0,3.0,1.0
14,AR,2012,F,2949208,0.0,0.0,0.0,0.0,0.0
15,AR,2013,F,2956780,0.0,0.0,0.0,0.0,0.0
16,AR,2014,F,2964800,0.0,0.0,0.0,0.0,0.0
17,AR,2015,F,2975626,0.0,0.0,0.0,0.0,0.0
18,AR,2016,F,2988231,0.0,0.0,0.0,0.0,0.0
19,AR,2017,F,3004279,1.0,0.0,1.0,1.0,0.0
20,AR,2018,F,3013825,1.0,0.0,0.0,0.0,1.0
21,AZ,2012,F,6544211,0.0,0.0,0.0,0.0,0.0
22,AZ,2013,F,6616124,0.0,0.0,0.0,0.0,0.0
23,AZ,2014,F,6706435,1.0,0.0,0.0,0.0,0.0
24,AZ,2015,F,6802262,1.0,1.0,0.0,1.0,1.0
25,AZ,2016,F,6908642,1.0,2.0,0.0,2.0,1.0
26,AZ,2017,F,7016270,0.0,0.0,0.0,0.0,0.0
27,AZ,2018,F,7171646,1.0,1.0,0.0,1.0,1.0
28,CA,2012,A-,38019006,0.0,0.0,0.0,0.0,0.0
29,CA,2013,A-,38347383,4.0,1.0,6.0,7.0,4.0
30,CA,2014,A-,38701278,1.0,0.0,1.0,1.0,0.0
31,CA,2015,A-,39032444,1.0,1.0,0.0,1.0,0.0
