State,Year,Grade,Population,Date,Killed_(includes_shooter),Wounded,Total_Injured_Killed_Victims,Number_of_Shots_Fired
AK,1982,0,0,1.0,0.0,1.0,1.0,1.0
AK,1987,0,0,1.0,1.0,0.0,1.0,1.0
AK,1997,0,0,1.0,2.0,2.0,4.0,0.0
AK,2000,0,0,1.0,0.0,0.0,0.0,1.0
AK,2005,0,0,1.0,0.0,0.0,0.0,0.0
AK,2010,0,714015,0.0,0.0,0.0,0.0,0.0
AK,2011,0,722259,0.0,0.0,0.0,0.0,0.0
AK,2012,F,730825,1.0,0.0,1.0,1.0,0.0
AK,2013,F,736760,0.0,0.0,0.0,0.0,0.0
AK,2014,F,736759,0.0,0.0,0.0,0.0,0.0
AK,2015,F,737979,1.0,0.0,2.0,2.0,0.0
AK,2016,F,741522,1.0,0.0,1.0,1.0,1.0
AK,2017,F,739795,0.0,0.0,0.0,0.0,0.0
AK,2018,F,"737,438",1.0,0.0,1.0,1.0,1.0
AL,1973,0,0,1.0,0.0,1.0,1.0,1.0
AL,1978,0,0,1.0,0.0,1.0,1.0,1.0
AL,1980,0,0,4.0,2.0,3.0,5.0,3.0
AL,1982,0,0,1.0,1.0,0.0,1.0,1.0
AL,1985,0,0,1.0,1.0,1.0,2.0,1.0
AL,1988,0,0,2.0,0.0,1.0,1.0,1.0
AL,1991,0,0,1.0,0.0,2.0,2.0,1.0
AL,1992,0,0,2.0,1.0,1.0,2.0,2.0
AL,1994,0,0,1.0,0.0,1.0,1.0,0.0
AL,1995,0,0,1.0,0.0,1.0,1.0,0.0
AL,1996,0,0,1.0,1.0,0.0,1.0,0.0
AL,2004,0,0,2.0,0.0,2.0,2.0,2.0
AL,2006,0,0,2.0,0.0,2.0,2.0,0.0
AL,2008,0,0,2.0,1.0,1.0,2.0,2.0
AL,2010,0,4785579,2.0,1.0,1.0,2.0,1.0
AL,2011,0,4798649,0.0,0.0,0.0,0.0,0.0
AL,2012,D,4813946,1.0,0.0,0.0,0.0,0.0
AL,2013,D-,4827660,1.0,0.0,0.0,0.0,1.0
AL,2014,F,4840037,0.0,0.0,0.0,0.0,0.0
AL,2015,F,4850858,1.0,0.0,1.0,1.0,0.0
AL,2016,F,4860545,2.0,0.0,2.0,2.0,1.0
AL,2017,F,4874747,2.0,0.0,0.0,0.0,2.0
AL,2018,F,"4,887,871",3.0,1.0,2.0,3.0,1.0
AL,2019,0,0,2.0,0.0,2.0,2.0,1.0
AR,1970,0,0,1.0,1.0,5.0,6.0,0.0
AR,1974,0,0,1.0,1.0,1.0,2.0,0.0
AR,1980,0,0,1.0,1.0,0.0,1.0,1.0
